make,model,months_old,power,gear,fuel_type,kms,price,age
Porsche,911,240,210,manual,gasoline,202000,999999,1998
Ford,Mustang,54,487,manual,gasoline,30000,685000,2013
Porsche,911,358,220,manual,gasoline,56300,555555,1988
Porsche,911,14,368,manual,gasoline,2800,470000,2016
Porsche,911,3,515,unknown,gasoline,10,450000,2017
Porsche,911,17,368,manual,gasoline,145,445000,2016
Bentley,Continental,6,522,automatic,gasoline,3500,399000,2017
Mercedes-Benz,Cla200,26,115,manual,gasoline,29000,330000,2015
Bentley,Continental,5,522,automatic,gasoline,1200,302900,2017
Bentley,Continental,14,522,automatic,gasoline,17900,289700,2016
Bentley,Continental,7,522,automatic,gasoline,9900,284900,2017
Bentley,Continental,8,388,automatic,gasoline,2500,263724,2017
Porsche,911,24,368,automatic,gasoline,1574,259900,2016
Porsche,911,6,427,automatic,gasoline,620,254900,2017
Porsche,911,16,368,automatic,gasoline,5100,245900,2016
Bentley,Continental,18,472,automatic,gasoline,3600,244900,2016
Porsche,911,12,427,automatic,gasoline,7900,240900,2017
Porsche,911,3,368,automatic,gasoline,300,240000,2017
Porsche,911,14,368,automatic,gasoline,12,239900,2016
Bentley,Continental,34,373,automatic,unknown,10000,236000,2015
Bentley,Continental,23,472,automatic,gasoline,3950,235900,2016
Land,RoverRangeRover,12,405,automatic,gasoline,150,235900,2017
Bentley,Continental,19,472,automatic,gasoline,9400,234900,2016
Porsche,911,1,368,automatic,gasoline,50,232900,2017
Porsche,911,30,368,automatic,gasoline,14000,229900,2015
Bentley,Continental,17,472,automatic,gasoline,3600,229900,2016
Bentley,Continental,11,472,automatic,gasoline,4069,229500,2017
Bentley,Continental,11,472,automatic,gasoline,4069,229500,2017
Porsche,911,23,368,automatic,gasoline,2609,227900,2016
Bmw,118,10,111,automatic,diesel,21986,226990,2017
Porsche,911,22,427,automatic,gasoline,5000,226900,2016
Audi,A3,55,103,automatic,diesel,82000,225000,2013
Porsche,911,3,368,automatic,gasoline,160,225000,2017
Porsche,911,2,368,automatic,gasoline,5,225000,2017
Bentley,Continental,23,467,automatic,gasoline,4729,223900,2016
Porsche,911,23,368,automatic,gasoline,6820,222900,2016
Porsche,911,24,368,automatic,gasoline,10000,222500,2016
Porsche,911,250,210,manual,gasoline,110300,222222,1997
Porsche,911,29,368,automatic,gasoline,1800,220000,2015
Bentley,Continental,12,472,automatic,gasoline,8200,219900,2017
Bentley,Continental,19,373,automatic,gasoline,19000,216000,2016
Porsche,911,22,368,automatic,gasoline,2900,212900,2016
Bentley,Continental,21,467,automatic,gasoline,13000,212500,2016
Porsche,911,25,427,automatic,gasoline,9558,211500,2015
Bentley,Continental,9,467,automatic,gasoline,11000,210000,2017
Porsche,911,16,368,automatic,gasoline,2900,210000,2016
Porsche,911,20,427,automatic,gasoline,8000,209000,2016
Porsche,911,31,368,automatic,gasoline,7900,209000,2015
Bentley,Continental,25,467,automatic,gasoline,18200,208900,2015
Bentley,Continental,25,467,automatic,gasoline,18200,208900,2015
Porsche,911,23,427,automatic,gasoline,9150,206900,2016
Porsche,911,309,261,manual,gasoline,48000,205000,1992
Porsche,Cayenne,18,419,automatic,gasoline,7000,204500,2016
Renault,Kangoo,145,59,manual,diesel,200000,200000,2005
Porsche,Panamera,5,500,automatic,hybrid,10000,199900,2017
Porsche,911,6,368,automatic,gasoline,50,199900,2017
Porsche,Panamera,2,404,automatic,gasoline,3000,199500,2017
Bentley,Continental,21,467,automatic,gasoline,16000,199000,2016
Porsche,911,32,368,automatic,gasoline,14500,199000,2015
Bentley,Continental,20,467,automatic,gasoline,5,198900,2016
Porsche,911,42,383,automatic,gasoline,19000,196900,2014
Porsche,911,27,427,automatic,gasoline,18900,195900,2015
Mercedes-Benz,E220,96,125,automatic,diesel,190000,195000,2010
Porsche,911,360,220,manual,gasoline,33000,195000,1988
Porsche,911,360,220,manual,gasoline,30000,195000,1988
Porsche,911,3,500,unknown,unknown,1,195000,2017
Land,RoverRangeRover,28,375,automatic,gasoline,16000,194900,2015
Bentley,Continental,7,388,automatic,gasoline,9000,190000,2017
Porsche,911,25,427,automatic,gasoline,4698,189900,2015
Mercedes-Benz,Viano,96,110,manual,diesel,128367,189000,2010
Bentley,Continental,23,388,automatic,gasoline,11500,188900,2016
Bentley,Continental,35,388,automatic,gasoline,13500,188500,2015
Bmw,X3,83,135,manual,diesel,148000,188000,2011
Bentley,Continental,21,388,automatic,gasoline,4109,187500,2016
Bentley,Continental,26,467,automatic,gasoline,11285,186900,2015
Porsche,911,90,331,manual,gasoline,21600,185000,2010
Porsche,911,38,412,automatic,gasoline,3000,185000,2014
Porsche,911,24,397,automatic,gasoline,5999,184900,2016
